,source,target
60579,if we follow the money we'll find who he paid to kill these women.,if we follow the money we'll find out who he paid for the murder of those women.
361256,a cunning play of the mentally ill newcomer philip fry.,a stunning play bymentally ill newcomer philip fry.
494881,it's a little crazy for your brain isn't it?,kinda sticks in your head doesn't it?
466463,not so tough now are you nasty evil dog?,you're not so bad now are you?
184194,don't fucking dare throw that fucking water at me.,don't you dare throw that water on me.
484587,i bet my face sells more cans than my butt.,watch i'll bet you my smile sells more cans than my booty.
86567,were you just a goat?,were you breast-fed?
40877,when miss cutler took the script the first thing she did was kill one of the main characters with an ax.,when ms. cutler took over writing the show first thing she did was kill off one of the main characters with an ax.
3068,well street's on my shitlist.,well street's on my list.
128179,recidivists are usually the ones who have the worst education.,recidivists are usually those people that are the least educated.
199544,i'll fry them up and i'll taste them with lots of mustard.,pork and sauerkraut? i'm gonna fight them off and i'm gonna flavor them with a lot of mustards.
402661,we can't smear him with the blood of the koreans.,we can 't stain it with the blood of koreans
565546,the colossal prick even managed to sound magnanimous.,the colossal cricketer was even able to speak magnificently.
565174,maybe the russian bullshit is on the chessboard but not here.,maybe this russian bully stuff works on a chessboard but not here.
240467,the undertaker cut it out of his chest with a scalpel.,the hearse cut it out with a scalpel.
11381,you get the hell away from me cheryl cox-tiegs!,get away from me cheryl cox-tiegs!
71348,you are my chum.,you're my friend.
386061,but the hodgepodge of muslims should not dream of virgins.,'good muslim boys don't dream about virgins.'
455874,you'll blow your other leg off.,don't blow your other foot off.
288726,and you didn't fuck up. he crossed the line.,and you didn't screw up. you know he crossed a line.
544530,when i watched those ambulance doors close... ...and my sister was behind themwith that sweaty nuclear-spy freak... ...my worlds collided.,but as i watched the closing doors of the ambulance and my sister was behind them with that nice nuclear spy my worlds met.
264962,if you didn't you died.,if you weren't you died there.
348364,guys you look pathetic. - hey we were at a disadvantage.,you guys look pitiful. - hey we were outnumbered.
93494,blade... the daywalker-- still pursuing his ridiculous crusade.,he's still leading the pointless crusade.
143402,i mean do you want to go over there and change his damn diapers every day?,you want to go out there and change his diapers every day?
482773,what're you... we can't kill them!,you can't kill them!
164705,i'd do anything to help you but don't fuck up with gabby anymore.,i would do anything to get you out of trouble but don't mock me again together with gaby.
20413,grandpa everyone calls me a coward.,grampa everyone's calling me a coward.
23538,yeah look on the bright side. at least now i'm only half crap.,yeah i'm only half the way from the best side.
329432,but she'll be there like a bomb a stink bomb waiting to go off.,but it's gonna be there like a bomb a smelly bomb waiting for an explosion.
137807,ridiculous vehicle terrible hair clothes both from a high school fashion student...,the madcap vehicle the cockamamie hair the clothes designed by a first-year fashion student...
282370,the last breath begged me to spare your life.,with his last breath he begged me to spare your life.
516704,all i can say is baker i'm glad you found the guy the other way i'd have shot the other two but...,well all i can say baker is i'm glad you found these guys 'cause i know i get down on you two but...
62500,don’t worry there are only about three people on earth who will notice and they’re all anal-retentive marine geologists with no sense of humor.,but don't worry there's only so many people on the world who notice and it's all geology of geológovia-oceanographs with no sense of humor.
205248,no need to get rough! shit take the money and go.,take the money and get out of here.
407493,okay but remember we got a big game tomorrow so don't statutory rape anybody.,okay but remember we have a big game tomorrow so don't rape anyone.
569328,he's a killer!,lets see it's a killer!
553483,shit it's messing with my head.,it's doing my head in. jesus!
51726,how's it feel to be so goddamn right?,how does it feel to be right?
101208,"and there will be a day when you land on earth and there will be two clowns waiting for you at the lift and you'll have a gun in your belt and they'll take you straight to jail. ""","comes the day you ground at terra and a couple of clowns with sidearms are waiting at the foot of the lift to drag you off to the calabozo."""
435249,"it must have been the finest moment of your miserable life telling voldemort you could hand him the potters.""","it must have been the most wonderful moment of your miserable life when you told voldemort that you could give him potter. """
573521,snooki wants to fuck.,snooki want smush-smush.
529874,would you like me to get inside you?,would you like to have him in?
112102,he's a sleepy ducky.,it's a sleepy duck.
19595,fuck me again like you did last night.,come on like last night.
432488,no some goon with a stocking pulled over his face.,no some hulking with a stocking over his head.
273501,ask your boss if he wants me shot up before we talk.,ask the boss if he wants me to talk to him alive.
515714,i would like... ...to smash them. and pick them all up... ...and throw... ow!,i want to..... .and take them all... and through....
504206,you told me if you die... you want to be buried by the river where we used to play.,you wanted me to bury you there by the river where we used to play.
69402,you fucked me for a guy who didn't want you.,you screwed me over for a guy who won't screw you.
258557,this is a quiet frightened insignificant old man who... who has been nothing all his life.,this is a quiet frightened reckless old man who... has meant nothing all his life.
174726,you walk into their house you steal you shoot at them.,you went into their house they robbed they shot at them!
235195,if you are attacked you should always play dead.,when you're attacked pretend you're dead.
79090,an alcoholic self-destructive suicidal man with a gun and a federal badge who changed everything.,a suicide alcoholic who was with a gun and with a badge -- changed everything.
234711,remove him in a crime-ridden part of the city and let his social rabble make his way.,drop it off in a bad part of town and let social decay take its course.
576726,damn girl. it's a beautiful day in los angeles.,it's a beautiful day in los angeles.
550495,you're not a scholar not even a student only a zealot with no sense of reality.,no scholar not even a student but a zealot without a sense of reality.
262944,four days i've been busting my ass i haven't learned a thing.,i've worked here for four days and i haven't learned anything.
58954,i don't know maybe the old fool is just lonely.,i don't know. maybe the geezer's just lonely.
502454,snape was crossing his hand over the head of the one-eyed witch examining it carefully.,snape was running one of his hands over the one-eyed witch's head examining it closely.
150719,a normal person wants to throw up after the first kill.,killing a human being for the first time makes a normal person sick to the stomach.
546282,hector suarez just got taken in. shit.,hector suarez just got in custody.
234623,what the fuck man?.,then what is this?
473953,don't fuck with me!,don't screw me up.
107751,you bunch of parrots!,you mass parrots!
324577,oh my bad. it's just a bloody rib.,that was just a bloody rib.
361426,the scene was so pathetic that sparhawk could only stare.,the scene was so familiar that all sparhawk could do was stare.
574184,it's dumb but you don't get a card without a license.,sounds silly but you can't get a library card without an id card and current phone bill.
212445,you bastard! now see what you've done!,now look what you've done!
71940,your pedophile gonna walk?,the pedophile released?
298453,i don't really know what kind of perverts you think i'm capable of but i have no desire to touch you.,i really don't know what sort of weird you think i'm into but i have no desire to touch you wife.
71739,there is a wench on the throne of england.,that she is a woman on the english throne.
573563,white flesh,white meat
540132,"""silly!"" said o'higgins.","""poppycock!"" o'higgins snorted."
476761,if this is the bastard who seduced bianca out of his way i could understand why.,what a beauty! if this was the rogue who misled bianca i could see why.
255800,you're surprising me maggot.,you surprise me mage.
116228,go back to work you slug!,(screaming) - get back to work you slug!
405299,this is gonna look stupid.,it's going to look bad.
356741,we can't be together because one day you'll die and i won't.,we can't be 'cause one day you're gonna die and i won't.
258450,he thinks you're a rat or a little deer who wandered into their cave.,they think you are some rat or small deer that has tumbled into their cave.
397189,but i ain't saying i shot you in the ass.,but i wouldn't say i shot you.
166443,let your liver rest candita!,give that liver a rest candita!
559593,you can't trust your insides okay?,you cannot trust your gut okay?
30804,don't be daft pink is for girls not purple.,come on it's pink for girls not purple.
96336,can you please clip my fucking hairs dude?,can you get the hairs please?
20731,val i don't mean to get hot under the collar but pappas has how many nominations... compared to this greenwich village lunatic?,vale i don't want to put oil in the fire but how much did pappas have a nomination... compared to this guy from greenwich village?
149922,maybe cato likes boobies too.,maybe cato likes berries too?
349620,that ghastly whiteness it is which imparts such an abhorrent mildness even more loathsome than terrific to the dumb gloating of their aspect.,the awful blemish adds their silent gaze to such abhorrent gentleness that they look more abhorrent than terribly.
519733,"""fuck""?","""dicksauce""?"
403546,she was sick as a dog.,she was under the dog.
22057,i'm gonna try and flip the baby around in her tummy.,i'll try to turn the baby around.
353628,yeah i'm buying a playground for the children of porn actors.,sure i'll buy the playground for the porn-actor kids.
576038,i wish you would turn this disloyal swine into something fitting.,i wish you'd turn this disloyal svini into something metal.
450140,victor's naked in the shower.,victor's naked in the shower?
385494,let's make this shit happen.,let's make it happen.
226794,there would also be brutal harassment from other los angeles gay men.,he could also expect brutal harassment from the rest of l.a.’s finest.
295412,do you want to fucking hear what i have to say?,you want to hear what i want to say?
481444,he had a good idea. shut up.,that was a good idea.
409788,it's too bad antibiotics can't cure stupidity.,it's a shame the antibiotics aren't treating debilitating.
211097,you will bury me!,you bury me!
112006,even after i told him to go to hell he wired the money anyway.,even though i told him to shove he sent me the money.
269016,you're telling us that the biggest convoy of trade ships we've ever sent across the north atlantic... is now heading toward the biggest concentration of the submarine that the germans had in the north atlantic... and you don't know where the damn submarines are?,you're telling us that the largest assembly of merchant shipping... we've ever sent across the north atlantic... is now steaming towards the largest concentration of u-boats... the germans have ever put in the north atlantic... and you don't know where the hell the goddam u-boats are?
157904,shut it off.,cut it out.
430824,so why don't you do us both a favor just quit your yappin' grab a couple of glasses and a corkscrew and come sit your little ass down on the couch.,so do us both a favor stop talking bring me two glasses and a corkscrew and come to my seat.
105268,your soldiers are inexperienced.,your soldiers are not inexperienced.
552306,how many times have i told you don't wear that fucking hat here?,how many times have i told you? don't take your hat.
355388,ok because you cannot have sex.,because you can't sleep with him.
309724,there's no signal in this shithole!,there's no signal in this hole!
526832,he thought he had killed her with a closing knife.,he had the crazy feeling that he'd killed her.
296921,i'm useless if he dies of grief and dies of a broken heart.,she's no use to me if she pines away and dies of a broken heart.
493204,with a sudden wicked slap tony cracked frankie across the face with the barrel of his gun.,tony suddenly struck him savagely in the face of the gun barrel.
385089,he thought he was being foolish as he put his scimitar back in its sheath but he could not deny what he felt as though he was looking at the situation with bear-eyed.,he thought himself foolish as he sheathed his blade yet he could not deny the empathy he felt almost as though he was viewing the situation through the bear's eyes.
307588,my quest for friends led me to alienating the entire school and the psycho's sexist.,'my quest for friends had led to me alienating the entire school 'and the psychotic head of sixth form.
184192,he's gone completely crazy... just like a real high-school kid.,he got all mad... just like a real high school kid.
51424,demper was always a loser.,demper's always been a hack.
125717,"""i thought you should have the first taste"" of my pussy.","""i wanted you to try first... my frilly."""
468709,the only movement i won't tell you to do and shoot you you know?,you make one move i don't tell you to make you get shot do you understand?
32543,william morrisjust merged with endeavor... ...and mr. kaplan out on his ass.,william moris joined endeavor and mr kaplan kicking him out on the pavement.
501914,one more round and i'm gonna throw you gents right out in the snow.,one more round and i'll toss you gentlemen straight to the cold.
236448,you should disappear.,you should go.
449361,yeah i was knee-deep in human excrement ten minutes ago.,yeah ten minutes ago i was knee-deep in liquefied human feces.
317771,you one fossil head!,yo fossil head!
377221,dude what the fuck is that?,dude what the hell kind of art is this?
67523,like for instance if you have a mother-in-law... ...who figures she can stay over with you whenever she damn pleases!,for example if you have a mother-in-law who wants to be with you whenever he likes!
53738,the black magician was there all the time in the dark invisible watching and waiting.,the warlock lord had been there all along there in the darkness invisible watching and waiting.
97328,i'm trapped in this damn time vortex.,i'm trapped in this infernal time eddy.
244258,"it's a damn great horse with a horn on the end!"" said granny.",it's a long red horse with a long horn at one end! 'said granny.
368736,the scum of europe of paris.,a mob from europe from paris.
385404,they're sick.,they called in sick.
63034,you suggest we storm the ship kill all the eggs?,so what do you think we should do invade the ship and destroy the eggs?
230396,can you scratch my back baby?,i have chills. - can you scratch my back baby?
51863,bloody hell.,oh hell.
525599,'if i killed everyone i was suspicious about i'd have scant company.,"""if i killed anyone i suspect i'd be left alone."
494550,black nut.,black walnut.
445665,i told him um the officer outside his door was -- was dirty.,i told him the cop at his door was underpaid.
388302,"""what the hell does this mean!""","""what the hell does that mean?"""
226152,they're monkeys.,paws? they're chimps.
358615,"""i know the damn story.","""i know the story."
331056,that was her sister the wicked witch of the east.,you said she was dead the wicked witch of the east was her sister.
90315,i want them alive or dead!,the orders are dead or alive.
59416,okay fat bastard who's the japanese cat you make a exchange with?,all right fat bastarde who's the japanese cat you made the trade with?
574610,after you killed me that probably wasn't the most important thing of the day.,after you killed me i guess that wasn't the biggest thing to happen to me that day.
385183,if it's a video really fake then who did that stupid thing?,"""lf the video is really a fake one "" then who is one who made this senseless stuff?"
237282,he went up there to plant the fucking gun!,he went upstairs to set up a gun.
16326,oh shit!,oh come on!
326940,we're ready to shoot.,we're ready to fire.
49891,we fart on your socialist workers and their movements.,we don't give a good fart about the socialist workers and their movements
383124,maybe we're being silly both.,maybe we both are.
438503,real tight-ass.,she's a real prude.
198374,invite him out for a drink then casually mention you'd like to marry him and have lots of sex and babies.,invite him out for a drink and put in a call to marry him make love and have kids.
279926,and third find yourself a classic beauty shop to have a perfect ass and first-class tits.,and third find yourself... a classic beauty... with a perfect can... and great totties.
3655,fuck fuck why didn't you tell me before?,why didn't you tell me before?
120691,"""do you see this ugly guy with his red chest and gold chains?""","""see that ugly-looking fellow with the fancy red breastplate and all those gold rings and things?'"
497047,so what are you going do with it when you like... die?,and what will you do with it when you... die?
356480,it's completely useless.,it's absolutely unnecessary.
210586,we called you gay boy.,we called you sugar.
361365,"""do you have a terrible zooming disease?""",'have you got any horribly disfiguring diseases?'
472731,"""you laugh at me and i'll cut you man.""","""laugh at me and i'll take you down my friend."""
564793,damn it where is everybody? bruno!,where the hell did everyone go?
398040,hey what's the weirdest place you've ever had sex with sara?,what's the strangest place you've taken with sara?
95913,women don't want to fix things.,women don't want to fix anything.
66969,that's the way it was till when a black woman broke the law by refusing to move to the back of the bus. white people just couldn't believe it.,so it was until when one black woman passed the law when she refused to move to the back of the bus.
362017,you're a shame for the fbi booth.,you are wasted in the fbl booth.
524868,and... i'm sure he's not some lying hamster.,and... totally not a lying weasel at all.
105394,the young man felt the heat in his crotch and realized he had just wet himself.,the altar boy felt his groin grow hot and realized he had wet himself.
213399,oh it's gonna kill me!,oh i kill myself!
558344,that... and this crappy attorney the court appointed me and... well let's just say... they had their guy.,this and that awful lawyer who put him on trial and... say they found their guy.
124367,he says the one who follow this woman should turn back or she will die.,he says the one who came for this woman should be returned.
26395,gimme the goddamn money.,give me the money nelson.
224664,she makes me crazy.,i'm going crazy.
154527,but i'm massive and i could crush you with rocks before you put too many punches.,yet there's a lot of me and i could belike crush you with stones before you got in too many blows.
326096,if i fuck this up... i lose everything.,if i screw this up i'll lose everything.
172321,trust your father-in-law dammit!,trust your father-in-law!
304466,i assure you they have their best dicks.,i assure you they'll receive the best care.
168996,i'll be right back with your dick oil on my feet.,i'll be right back with your aromatherapy foot pack.
560429,killed four o' the hounds.,he killed four of those outposts.
113057,sleeping pills would give you your hobo too.,you could have gotten sleeping pills from your internist.
561652,you shouldn't kill her.,you can't kill them!
25974,i will listen to a certain amount of drunken bollocks gail but sex is not just for the men it's for the women too.,i'll listen to a certain amount of drunken talk gail but sex isn't just for men it's for women too trust me.
223916,aw damn.,bloody hell.
252624,they're fucking hot.,they're so sexy.
534616,i want to ask you about the garbage.,can i ask you something about the trash cans?
285386,you don't think he's gonna fart on him?,you don't think she's gonna flake on this dog?
310227,just fucking tell me all right?,just tell me you know?
398854,i'm gonna touch you now.,i'll touch you now.
292997,will it kill you if you drink it?,would it kill you to just drink formula?
110793,a loser like you can talk about luck when he sees me twice.,an upstart like you is lucky to see me twice
414647,it's for my son you fool.,it's for my son you nit.
301097,she's too bored for men like you.,for a man like you she's too drab.
339395,that's my friend and editor lucy spiller having sex.,that's my friend and editor-in-chief lucy spiller... and her sex.
222721,since when is shooting kids and blowing up hydrogen bombs all right?,why did i do that? since when did shooting kids and blowing up hydrogen bombs
506685,the surprising thing is women who like to get peed on always tend to be from the warmer climates.,what is surprising is that a woman who likes to have a pee is mostly from warmer areas.
286248,i thought black people couldn't ski.,i thought black couldn't ski?
520060,norman snatched the mask out of his pocket and yanked it over his head inhaling the smell of piss and rubber.,norman took the mask out of his pocket put it on his head and inhaled the smell of urine and rubber.
567027,coltrane's head bounced backward then forward tugging at her breasts smoking and bleeding.,coltrane's head snapped back with the impact of the point-blank shot then dropped forward chin on his chest smoking and bleeding.
273428,they caught me they tied up some rags and shit in the truck! ',they seized me tied me up with some rags and dragged me away in a truck!'
382801,you're supposed to kick ass in school and meet new people and have all these great experiences.,you were supposed to be a bad-ass school meet new people and have all these great experiences.
288788,that bestial animal face - jaws open in a gaping laugh - and the crimson forked tongue that vibrated like a crippled snake in the cavern of his throat!,the bestial brutal face - jaws open in loud laughter - and a crimson jagged tongue that struggled in the cave of his throat like a mangled snake!
134743,i don't want you to be who you are.,i don't want you to keep being the way that you are.
169639,james ford... assailant defraudant identity thief bank cheat telemarketer con artist...,"assault wire fraud identity theft bank fraud telemarketing fraud..."""
428235,♪run away with cute baby! ♪they're trying to kill my cute baby! ♪cute cute cute cute. ♪shit shit shit shit!,run with a cute baby! they're trying to kill my cute baby! cute cute cute cute.
41803,our friends are in the jungle now holding a gun at your head and his head.,our friends are in the jungle now and he's headed for you and him on his head.
232073,"""you ned-this is the air the water - i've never seen anything so disgusting!""","""why ned -- the air the water -- there's never been such a dreadfulness surely!"""
20525,you pussy man. get over here.,you cat get out of here.
408731,are you fucking kidding me?,are you kidding?
473944,she was like she was crazy.,oh my god! she was like she's going crazy.
110802,you don't know what you're talking about you old coot.,you don't know what you're talking about you old geezer.
449828,ladies and gentlemen...... brothers and sisters...... i want you all to talk sex!,ladies and gentlemen... ...brothers and sisters... ...i'd like to talk to youall about sex!
356566,that little bastard is driving me crazy man.,this little thing is driving me crazy man.
276352,what the hell am i supposed to say?,what do you think i should call it?
52520,this is bullshit.,that's messed up.
64148,stupid. i wanted a smoke.,dude i want a smoke.
200866,weak and puny human! he heard the voices of the gods shout.,oh you weak and poor man! the gods spoke to him.
380089,a lesbian!,lesbian!
213926,i started sucking him off.,i started smoking him.
2089,but you sue are such a phantasmal bodiless creature one who - if you'll allow me to say it - has so little animal passion in you that you can act upon reason in the matter when we poor unfortunate wretches of grosser substance can't.',"but you sue you are such a fantastic imphysical creation and you have in yourself - let me tell you - so few of the animal passions that you can manage in this way by balance while we are not going to be able to bear it. """
382795,i had something to do with these tax motherfuckers.,i've dealt with these tax pricks.
356899,we should sue his for filthy...,we should be suing him for gross...
385638,come on dolores. you don't believe... a painted hussy like that could turn my head.,do you think this painted girl can mess up my head?
59962,katherine damn pierce had a selfless moment too can't i have him?,katherine fricking pierce has a selfless moment i'm not allowed to?
81207,just shut up and let us help you.,just stop talking and let us help you.
143119,he can't catch a thief because he has short legs.,he can't capture the thief the legs is short.
52465,you know what a fucking race is barns?,you know what a gut race is barnes?
179842,you're acting like a petulant child.,you act like an offended child.
231989,and so it went on jesse was more and more arrogant funny moody weirder and unpredictable.,and so it went jesse was increasingly cavalier... ...merry moody fey... ...unpredictable.
128610,fuck another chick who doesn't like you?,you gonna hook up with another girl who doesn't really like you?
94955,if you don't believe me fuck it.,if you don't believe me eat up.
359781,kill the girl i'll pay you when i see her body,i'll pay when i see her body.
73184,they had just finished college studies and they were ready to die.,they'd just finished college and were ready to jump into life.
64216,everyone must die sooner or later.,everyone must die at some time or another.
366030,the leader's a giant of a man bald with a thick beard.,he's led by a huge guy - bald and with a thick beard.
340812,i set one crappy example for you and you have no choice but to follow in my footsteps?,i gave you one bad example and you had no choice but to walk in my footsteps?
324064,or an eternity of suffering in hell --,or with eternal suffering...
350992,that fire was a bitch-ass thing to do.,the fire was a hell of a mess.
304682,so we should crush manny's spirit and destroy everything that makes him who he is.,so we're just gonna destroy manny's enthusiasm and prepare him for whatever he's done by who he is.
397758,you're standing here with your fucking mouth and you're telling me you didn't do it okay?,you stand there with your thick gob and tell me you didn't do it?
330543,i don't know - stupid.,i don't know.
39589,whoa whoa! you're gonna cut him open? right here?,you want to open it right here?
469703,right in the balls god.,right in the ball sack. god.
247683,he's right damn it almost everything.,he's right of course about damn near everything.
145435,what does that mean? whores.,what does it mean?
471807,she looks drugged.,he looks drugged.
290252,she's fucking yelling to him all the time.,he's kicking him all the time.
307438,you better frigging hope so.,you better hope so.
487620,god i almost want to beat you up.,god i almost beat you up.
380483,you can't keep on fucking talking to the thin air.,you can't keep talking in the air.
471785,do not send shit to my office at school.,don't send anything to my office anymore.
195609,i like baptisms you like baptisms and who doesn't eat them is lame.,so remember i love cheesy poofs you love cheesy poofs if we didn't eat cheesy poofs we'd be lame...
207615,doctor: crazy enough to want to steal the mona lisa?,enough to want to steal mona lisa?
448814,a crook and an emperor.,the trickster and the emperor.
216771,we're gonna need a garbage bag.,we shall need a hefty bag
63065,especially groggy to blast open... that damn iron safe we'd have to be using so much dynamite... that the whole bank would just disappear.,if you wanted to blow the safe up you'd have to use so much dynamite that the bank would disappear.
454336,he's he's got a bad heart and an active dick.,he's with a tricky ticker and an active pecker.
566784,what the hell does that mean?,what the devil does that mean?
150003,ah my nipples!,ah my cic!
407285,your vile actions will ruin the world! you showed the entire world that we hid the hell inside of us!,and your perversity will bring an abomination when you reveal to the world that hell we bear in ourselves.
254382,welcome damn! couldn'tyou have dug a deeper one?,welcome the hell! dig deeper?
88155,oh shit. so you're the guy.,oh my god. you're the guy.
128506,tell me what you've been thinking because nothing in the last few days... has made any fucking sense to me at all.,tell me what you think 'cause nothing ever made sense in the last few days.
46879,because ' to ' were pussies.,because the - were horseracing.
569916,that means death.,it means death.
206215,the car's useless!,that car ain't no good.
371171,i didn't kill her andy but if she did i'd have done it at the moment and the day when i saw the pigsty in the room and smelled the smell.,i never killed her andy but if i was gonna i would've done it that day when i saw that mess and smelled that room.
289956,what the hell did you order?,oh my god. what the hell did you order?
363595,and that's why we better get rid of her.,that's why we have to unload her.
186792,and sex is better.,and the sex is better too.
85996,i wanted black but i'd have to wait six weeks.,i wanted black but it was like a six-week wait!
555490,what the fuck is that?,what is this?
534356,but as he'd expected a woman of gallanti's mindset was always prepared to assume that everyone around her except lunatics would agree with her.,but as expected the woman's way of thinking like gallanti is always willing to assume that everyone around them would disagree with her.
436649,if you want to kill yourself i should have an old family recipe for you.,if it's suicide you're after i have an old family recipe.
398339,your pathetic friendship with him only gives you the illusion... ...that you have created something important. in the same way as you need me to give you the illusion of love.,you take only the illusion that you have achieved something important like you take an illusion of love with me.
57228,so i have to stab this shot every couple of hours or i'm going to die.,something happened to me. i have to take this injection every few hours or else i die.
576367,if rocco finds out you might end up dead.,if rocco finds out who you are it may be over with you.
537047,you murderous...,you murdering...
570177,now you've really killed him!,you really killed him!
418312,listen i killed a dragon. what's to keep me from killing you?,- listen what's to stop me from killing you too?
336900,she's crazy she's sensitive.,she is spiritual she is sensitive.
231459,she seems convinced that i sent him some stupid breakup telegram.,she was convinced i sent him a meaningless telegram about a breakup.
571364,this is retarded!,this is demented!
424445,in situations where puppies are expected to inherit very high antibody levels from the bitch the vaccination protocol should be planned accordingly.,in situations where puppies are expected to inherit very high levels of antibodies from their mother vaccination protocol should be planned accordingly.
414772,now let me guess which ones you are. now let's see. you're the cowardly lion right?,let me guess who you are: you're covard le lionel right?
61823,huh boy? you have the guts boy? - shut up!,or do you have it little boy?
237177,i think she went into the kitchen after i met... and beat her in the head.,i swear i think she went in the house after that... and just hit herself over the head with the frying pan.
11790,what the hell is it about?,what's going on?
553814,who the hell cares?,who cares deacon?
556716,i just punched someone.,i did punch someone.
318780,what the hell are we even talking to her for?,why do we even talk to her?
140340,shit he sounds like a real professor.,dude he sounds like a professor.
242678,we won a few awards and we kicked ass at the cannes film festival.,we all wiped our eyes at the cannes film festival.
39503,yes these ouha suits are useless.,yes these adj coats are no use.
524997,in return she'll take care of the kids and give me sex on demand.,in return she will take care of the children and give me if i want.
86685,you can buy a bottle opener for this...... and fix your fat ass maybe renovate the balcony.,that way you could get that can opener fixed... ...lipo the back end maybe refurbish the balcony.
230822,then how come with all this shit that me and you have been through i've asked you the same question a thousand times and you ain't never answered me?,so why after all we've been through together i have to ask you about the same question a thousand times and you never answer me?
290018,don't let the door hit your ass on the way out.,don't break the door when you go out.
113737,i'm not gonna help you kill somebody.,i'm not going to help anyone commit murder!
294178,i dunno but that tall fellow he had a face full of manure.,i don't know but the tall guy had a face from manure.
358594,he rules the forest by killing people without a gene.,they're trolling the forest taking out anybody without the gene.
208800,you british really don't have a sense of humor do you?,you brits really don't have a sense of humour do you?
567194,i don't need to prove shit to you man okay?,i don't need you to prove anything okay?
454008,kill the generator.,disconnect the generator.
281278,the masked fool who attacked me.,that nut job vigilante who attacked me.
296284,fuck it hurts!,but it hurts!
277320,let's put him in a shed.,let's put her in the barn.
44277,none of us know what the hell is going on around here.,none of us know what's going on.
386379,... ... god damn it!,six five... four three...
203805,you'll die slowly.,you will not die quickly.
315361,one goddamn day.,it was one freaking day!
337417,i'll pick them off okay?,i'll take them down will you?
301257,you stopped it man. you fucking did it!,you stopped him you did it!
274642,you got me into this shit.,this is messed up stuff you got me into.
184661,the city must be destroyed immediately.,the town must be neutralized immediately.
242754,is that what you want to cut my finger off?,what are you gonna cut off my toe?
295075,just look at the chaos in the eyes and tell him to go screw himself.,"it's a question to look into the chaos in the eye and tell him ""fire away."""
374009,caesar what nonsense.,ceasar this is crazy.
199264,"""the judge was reaching for an advocate for tits."" a problem of sexual discrimination.","""judge grabs female attorney's tits. ""the sex discrimination ""issue. """
348900,you must be the dirty blacksmith that humiliated my beloved kunigunda.,this is the soiled blacksmith who insulted the noble kunigunda.
276758,these guys kill everyone. and i mean everyone.,they killed everyone and i mean everyone.
81340,and fuck it. i'm not -- i'm not one of those people who works alone.,and i'm not one of those people doing themselves.
117390,watch carefully dimwit,now watch me carefully.
378980,"if we don't find out how are we gonna be able to trick you into this piece of shit? """,if we don’t find that out how the hell are we going to get the gun to you?”
245290,tasteful.,all fancy.
281337,that's a huge fucking deal.,that's a hell of a big deal.
14502,i'm sorry grandma it's not as pathetic as you think.,sorry grandma not as touching as you think it is.
403417,his mind was once more concerned about how rose had changed so much that she had gone out of the house with his fucking credit card taking possession of her gnawing beaver in a way that was difficult to bear.,the idea of rose's changing enough to walk out of the house with his goddam atm card took hold again in his mind took hold in a gnawing beavery way he could hardly stand.
519835,such a delightful racist.,it's a cute look for racism.
448273,burn your hand right?,you burn your hand.
227213,i can do black.,i'm a black man.
287699,my what big eyes you have pig.,wow what a big eye you've got.
144211,he's gonna fucking eat you.,it'll eat you alive.
399684,he's just as ludicrous.,it's just as absurd.
400482,the key is useless!,the key's no good!
87314,i had a premonitionl was gonna fuck up on my first day.,i had a hunch it was going to be the first day of my life.
203794,hayley your herpes is dripping into your potato.,hayley your cold sore is dripping in the potatoes.
82627,i want them dead within ten hours.,i want confirmed death in hours.
520689,the prince is marrying a witch!,the prince is marrying the sea witch in disguise!
506702,what right did she have to call him a bastard?,what right does he have to call his son-in-law?
214912,he stared at the audience so intently that clete craned to see what it was the wretched boy was staring at.,he looked up into the audience so that cleft stretched out his neck to find out what the unhappy young man was looking at.
52387,i'd probably just shoot my foot off.,i'd probably blow my foot off.
221093,he has the makings of either a total loser or a successful entrepreneur or maybe one of those guys who will oscillate between those two poles.,he has a chance to end up as a complete poor or highly successful businessman or maybe one of those people oscillating between the two poles.
116323,i'll fucking show you.,i'll show you.
168798,fuck something nice.,scream something nice.
338584,i think you've got the rest of your idiots convinced that you're john wayne.,i think you got the rest of these feebs convinced that you're john wayne.
212989,you're the only guy i know whose dick needs an instruction manual.,you're the only guy i know who needs directions.
294447,i'll just sleep with her.,when i sleep with her.
519844,i'm just covering my ass.,i'm just protecting my skin.
509336,they're selfish.,i mean they're selfish.
290143,i'm afraid he'll kill himself without me.,i am afraid that he will die without me.
551729,i just killed a man.,jest killed a man.
353041,no fucking thumbs can't pick up a glass.,no thumbs i can't raise my glass.
401763,i never even heard of a tranny church lady.,i've never heard of a transsexual woman working for a church.
134621,"""i have heard our gay samurai will leave us soon.","""i did hear that our glorious samurai would be leaving us."
443696,she likes...... so do you like the people who live around feeding their cats and that pile of shit in my mom's?,the people who used to live there fed these stray cats so they were always around and it drove my mother nuts.
274810,he just saw his mother burn to shreds.,he just saw his mother burnt to a crisp.
360922,why you makin' me beg every time i want my shit man?,why do you get me begging every time i want my stuff?
101488,i don't want to take any stupid decision because of osama's fear... and come on i'm in no way going to sell bras and panties.,for fear of usama i don't want to make a rash decision...... and i'm just not going to sell bras and panties.
